Domain,Have_IP,Have_At,URL_Length,URL_Depth,Redirection,https_Domain,Tiny_URL,Prefix/Suffix,DNS_Record,Web_Traffic,Domain_Age,Domain_End,iFrame,Mouse_Over,Right_Click,Web_Forwards,Label
www.wired.com,0,0,1,3,0,0,0,1,0,1,0,0,0,0,0,0,0
www.mahoraisedeseaux.com,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
vostnisili.files.wordpress.com,0,0,1,3,0,0,0,1,0,1,0,0,0,0,0,0,0
www.svd.se,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
ooakforum.com,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
www.diyncrafts.com,0,0,1,3,0,0,0,1,0,1,0,0,0,0,0,0,0
www.mokapos.com,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
jmockit.github.io,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0
www.gateway.com,0,0,0,5,0,0,0,0,0,1,0,1,0,0,0,0,0
epub.wu.ac.at,0,0,0,3,0,0,0,0,0,1,1,1,0,0,0,0,0
www.cephastanesi.org,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
sourceforge.net,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
www.nhs.uk,0,0,1,4,0,0,0,1,0,1,1,1,0,0,0,0,0
www.savetheboundarywaters.org,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
searchstorage.techtarget.com,0,0,1,2,0,0,1,1,0,1,0,0,0,0,0,0,0
tekyteach.blogspot.com,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0
www.tignes-spirit.com,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0
www.macworld.com,0,0,1,4,0,0,0,1,0,1,0,0,0,0,0,1,0
www.wisegeek.com,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0
freedownloadthetheoryofeverything.wordpress.com,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
www.ebi.ac.uk,0,0,0,2,0,0,0,0,0,0,1,1,0,0,0,0,0
www.cornerstonecommunities.com,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
www.agricolors.fr,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
www.elitewriterslab.com,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
zeendo.com,0,0,1,2,0,0,0,1,0,1,0,0,0,0,0,0,0
www.azurepower.com,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
transformation-center.org,0,0,1,3,0,0,0,1,0,0,0,0,0,0,0,0,0
zoryanvk.wordpress.com,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
www.law.cornell.edu,0,0,1,2,0,0,0,0,0,1,1,1,0,0,0,0,0
www.bauteile-shop.eu,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0
moz.com,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0
www.evolo.us,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
www.rosettastone.eu,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
www.britannica.com,0,0,1,2,0,0,0,1,0,0,0,1,0,0,0,0,0
www.proteinstructures.com,0,0,1,3,0,0,0,1,0,1,0,0,0,0,0,1,0
www.nextgeneration.ie,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
www.reducmiz.com,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
twitter.com,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
www.openhardware.io,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
kodi.tv,0,0,0,2,0,0,0,1,0,1,1,1,0,0,0,0,0
www.allproducts.com,0,0,1,3,0,0,0,1,0,0,0,0,0,0,0,0,0
www.airestech.com,0,0,1,2,0,0,0,1,0,0,0,0,0,0,0,1,0
www.dictionary.com,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0
kdwow.com,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
www.w3schools.com,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
www.franbaise.com,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
jayscottonair.tumblr.com,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
www.azquotes.com,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
www.printeron.com,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
www.ammograb.com,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0
webehigh.org,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
www.online-tech-tips.com,0,0,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0
whitsundayrc.qld.gov.au,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
smallbusiness.chron.com,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0
en.wikipedia.org,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
www.thesaurus.com,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0
www.audioenglish.org,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
aragonentucesta.es,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0
www.fontna.com,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
armorgames.com,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0
www.tiendeo.us,0,0,1,3,0,0,0,1,0,0,0,1,0,0,0,0,0
www.entrustedauctions.com,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0
www.mymajors.com,0,0,1,3,0,0,0,1,0,0,0,0,0,0,0,0,0
lunapark.com.au,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0
www.pcmag.com,0,0,1,4,0,0,0,1,0,0,0,0,0,0,0,0,0
www.makeuseof.com,0,0,1,2,0,0,0,1,0,0,0,0,1,1,1,1,0
www.conti.waw.pl,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
gist.github.com,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0
www.tdameritrade.com,0,0,1,3,0,0,0,1,0,0,0,0,0,0,0,0,0
www.cascineorsine.it,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Slovar-Vocab.com,0,0,1,3,0,0,0,1,0,1,0,0,0,0,0,0,0
en.academic.ru,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0
en.wikipedia.org,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
www.symbolab.com,0,0,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0
www.shwapno.com,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0
www.iris1914.it,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
whatis.techtarget.com,0,0,1,2,0,0,1,1,0,0,0,0,0,0,0,0,0
teksty-pesenok.ru,0,0,1,3,0,0,0,1,0,1,0,0,0,0,0,0,0
www.mygolfspy.com,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0
www.elitetraveler.com,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
packetlife.net,0,0,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0
ulozto.sk,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
www.bloggo.nu,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
www.sanmarinohs.org,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tamanastar.blogfa.com,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
www.philosophybasics.com,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
roken.nl,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0
www.ehow.com,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0
www.dspro.de,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
reaco.com.mx,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
www.hongkiat.com,0,0,1,2,0,0,1,1,0,0,0,1,0,0,0,0,0
www.mhpcolorado.org,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
realizables.es,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0
sentence.yourdictionary.com,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
tudopraeurotrucksimulator.blogspot.com,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0
www.effective-business-letters.com,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
www.omgchrome.com,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0
www.apronus.com,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
www.halsteadbead.com,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
www.ilovefreesoftware.com,0,0,1,3,0,0,0,1,0,0,0,0,0,0,0,0,0
teploteka.com.ua,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
www.larapedia.com,0,0,1,2,0,0,0,0,0,0,0,1,0,0,0,0,0
geenstraling.nl,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0
www.ebay.co.uk,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0
www.jmodelica.org,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
www.imacc.de,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
www.medicalequations.com,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0
www.leg.state.mn.us,0,0,0,3,0,0,0,0,0,1,0,1,0,0,0,1,0
fcit.usf.edu,0,0,0,3,0,0,0,0,0,0,1,1,0,0,0,0,0
excel.tips.net,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0
en.academic.ru,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0
www.wingate.com,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
www.trackmyshipment.co,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
www.ibtimes.com,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0
en.wikipedia.org,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
www.specialfruit.com,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
siotranculpdi.files.wordpress.com,0,0,1,3,0,0,0,1,0,1,0,0,0,0,0,0,0
www.quora.com,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0
www.webcastcloud.com.au,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
uns.ac.id,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
osxdaily.com,0,0,0,2,0,0,0,1,0,1,0,0,0,0,0,0,0
themoscowtimes.com,0,0,1,2,0,0,0,1,0,1,0,1,0,0,0,0,0
vim.wikia.com,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0
www.facebook.com,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
www.sibt.nsw.edu.au,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
www.trainingcesarsway.com,0,0,1,2,0,0,0,1,0,1,0,1,0,0,0,0,0
www.cel.ro,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
www.hawaiilife.com,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
www.oldpicsarchive.com,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
ru.pinterest.com,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
audio.online-convert.com,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0
resources.infosecinstitute.com,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0
investorplace.com,0,0,1,3,0,0,0,1,0,1,0,0,0,0,0,0,0
desrdenescotidianos.blogspot.com,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0
www.brynosaurus.com,0,0,0,3,0,0,0,0,0,1,0,1,0,0,0,0,0
www.linfo.org,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
www.merriam-webster.com,0,0,1,2,0,0,0,1,0,0,0,1,0,0,0,0,0
richmondelt.es,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0
mprestige.com.ua,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
www.intermed.com,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
www.pneushop.cz,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
ezoteryka-magia-okultyzm.blogspot.com,0,0,0,0,0,0,1,1,0,1,1,1,0,0,0,0,0
computer.howstuffworks.com,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0
ufcfullvideofight.blogspot.com,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0
www.hindihelpguru.com,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
www.boystown.org,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0
www.explainthatstuff.com,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
dic.academic.ru,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0
www.penpalsnow.com,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
time-ticket.blogspot.com,0,0,0,0,0,0,1,1,0,1,1,1,0,0,0,0,0
www.answers.com,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0
www.nuix.com,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
www.bestofsampleresume.com,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0
beachfield.co.uk,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
www.internetmedicin.se,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
abelfer.wordpress.com,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
www.simon.com,0,0,1,4,0,0,0,1,0,1,0,0,0,0,0,0,0
www.portablehifi.com,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0
www.simplethemes.com,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0
www.computerhope.com,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
www.rackaid.com,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
www.civiccu.com,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
www.myfirstccu.org,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
fornod32.blogspot.com,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0
www.globalsecurity.org,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0
www.ts911.info,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0
www.cyclicdesign.com,0,0,1,2,0,0,0,0,0,0,0,1,0,0,0,0,0
opensourceecology.org,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0
www.superteacherworksheets.com,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0
bagru.info,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0
www.storebusinesshours.com,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
portaal.webreus.nl:8080,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0
www.tolls.eu,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0
www.massinger-ulm.de,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0
www.mature-amateur-sex.com,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0
www.nationalcatday.com,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
www.quora.com,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0
mirebawakaru.tumblr.com,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
www.eguate.com,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
www.americanvan.com,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
www.oracle.com,0,0,1,3,0,0,0,1,0,0,0,0,0,0,0,0,0
www.linfo.org,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
www.lotstosave.com,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
www.360.ru:80,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0
www.trainingmask.com,0,0,1,2,0,0,0,1,0,0,0,0,0,0,0,1,0
www.emerson.com,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0
everything.explained.today,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0
www.oldertube.com,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0
www.indeed.com,0,0,1,3,0,0,0,1,0,0,0,1,0,0,0,0,0
www.wisegeek.com,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
www.gnu.org,0,0,1,6,0,0,0,1,0,0,0,0,0,0,0,0,0
www.swpc.noaa.gov,0,0,0,2,0,0,0,0,0,0,1,1,0,0,0,0,0
developer.mozilla.org,0,0,1,7,0,0,0,1,0,0,0,0,0,0,0,0,0
www.astro.com,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0
tabs.ultimate-guitar.com,0,0,1,3,0,0,0,1,0,0,0,0,0,0,0,0,0
www.pfsense.org,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0
www.docontherun.com,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
