Domain,Have_IP,Have_At,URL_Length,URL_Depth,Redirection,https_Domain,Tiny_URL,Prefix/Suffix,DNS_Record,Web_Traffic,Domain_Age,Domain_End,iFrame,Mouse_Over,Right_Click,Web_Forwards,Label
vaultguard.live,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1
powerrectify.com,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1
solutioncoin.live,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1
report-support.online,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
encryptednetworksfix.online,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1
centralizedweb3exchange.pro,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
dapp-bridge.online,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
coinnodesync.com,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1
bleepcont.com,0,0,0,0,0,0,1,0,1,1,1,1,1,1,1,1,1
bestkeyfix.com,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1
vallidateassets.online,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1
multidappsnode.netlify.app,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1
perfectmywallet.com,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1
seediify.com,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1
crobrigemeerkt.com,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1
minttripsters.com,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1
fixdappsconnect.com,0,0,0,0,0,0,1,0,1,1,1,1,1,1,1,1,1
dexconnecthub.com,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1
10.0.0.1:8000,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1
accedi-online-it.181-215-68-215.cprapid.com,0,0,1,1,0,0,0,1,0,1,0,1,0,0,0,0,1
accedi-online-it.181-215-68-215.cprapid.com,0,0,1,1,0,0,0,1,0,1,0,1,0,0,0,0,1
allertcontosospeso.com,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
allertcontosospeso.com,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
dev-binacionalbank.pantheonsite.io,0,0,0,1,0,0,0,1,0,1,1,1,0,0,0,0,1
u3i.co,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1
chttponnessionianomaleweb.com,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1
connessionianomaleweb.com,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
s3.amazonaws.com,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1
fev.tec4san.com,0,0,0,3,0,0,0,0,0,1,0,1,0,0,0,0,1
redirecionarads.000webhostapp.com,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1
securestaffaccess1.000webhostapp.com,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
pelagian-marines.000webhostapp.com,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1
onlineepay.000webhostapp.com,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
itausolucoessss.000webhostapp.com,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
bluebadgeinstgram.000webhostapp.com,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
eneromesdepromoibkspe.com,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
sadatcoldstorage.com,0,0,1,4,0,0,0,0,0,1,0,0,0,0,0,0,1
att-109902.weeblysite.com,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1
linkhttptr.ee,0,0,1,2,0,1,0,0,0,0,0,1,0,0,0,0,1
linktr.ee,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1
am23fcu.firebaseapp.com,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1
project2-9b962.web.app,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1
project2-9b962.firebaseapp.com,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,1
project2b-e738b.web.app,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1
project2b-e738b.firebaseapp.com,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,1
project2c-c1dff.web.app,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1
project2c-c1dff.firebaseapp.com,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,1
192.168.0.10:8080,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1
rb.gy,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1
ams-solutions.com,0,0,0,2,0,0,0,1,0,1,0,0,0,0,0,0,1
8902050pgebsnss4cirstrctdrcvry106380.co.vu,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1
www.club403.org,0,0,1,5,0,0,0,1,0,0,0,1,0,0,0,0,1
www.netfiix-sicher.com,0,0,0,2,0,0,0,1,0,1,0,0,1,1,1,1,1
ar-emiinent.firebaseapp.com,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,1
rayddium-io.online,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
pancakeewap-finamce.online,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
tucashonline-prestamoaprobado.cchashextrr4.top,0,0,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1
giftsilverbrasil.shop,0,0,0,2,0,0,0,0,1,0,1,1,1,1,1,1,1
bellsouthandattt.godaddysites.com,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
bellsouthandattt.godaddysites.com,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
my-metamessk.com,0,0,0,1,0,0,0,1,1,1,1,1,1,1,1,1,1
app-miller.bgpst1kjo2-ez94ddzm94mr.p.temp-site.link,0,0,1,0,0,0,0,1,0,1,0,0,1,1,1,1,1
xxrecoverypage2023.com,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1
faccebook-problem1.strangled.net,0,0,0,1,0,0,0,1,0,1,0,0,1,1,1,1,1
grrandzurryy.co.vu,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1
panccakesswap-finance.online,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
paxful-trade.link,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
adsvolts.com,0,0,0,3,0,0,0,0,0,1,0,1,0,0,0,0,1
rayydium.online,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1
172.16.0.1:3000,1,0,1,5,0,0,0,1,0,1,0,0,0,0,0,0,1
app-effertz.cel2ke7mxm-yk26edjr1379.p.temp-site.link,0,0,1,0,0,0,0,1,0,1,0,0,1,1,1,1,1
c841-track-view-mail-ups.firebaseapp.com,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,1
c841-track-view-mail-ups.web.app,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1
www.wvwnuevocashfinanciero.com,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
wvwplataformacashfinanciero.com,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
att-109234.square.site,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,1
att-108162.square.site,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,1
att-101781.square.site,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,1
att-106196.weeblysite.com,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1
att-106829.square.site,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,1
att-106829.square.site,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,1
att-106909-105045.weeblysite.com,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1
app-kuhlman.kgaxlabndm-yjr3oljvz31m.p.temp-site.link,0,0,1,0,0,0,0,1,0,1,0,0,1,1,1,1,1
wwrestarsidentyhelpsuportss.co.vu,0,0,1,2,0,0,0,1,1,1,1,1,1,1,1,1,1
pagsbsnssrcvry121sk0117256rstrctds.co.vu,0,0,0,1,0,0,0,0,1,1,1,1,1,1,1,1,1
10.0.0.2:8080,1,0,0,1,0,0,1,0,0,1,1,1,0,0,0,0,1
